,date,sales,station
35,2023-02-05,1345.0890972774994,Manchester Piccadilly
36,2023-02-06,1347.3600703198495,Manchester Piccadilly
37,2023-02-07,1353.988858964838,Manchester Piccadilly
38,2023-02-08,1353.23366608467,Manchester Piccadilly
39,2023-02-09,1357.587959905767,Manchester Piccadilly
40,2023-02-10,1358.0775604561377,Manchester Piccadilly
41,2023-02-11,1353.4296762628921,Manchester Piccadilly
42,2023-02-12,1360.3134572642468,Manchester Piccadilly
43,2023-02-13,1359.3833997249596,Manchester Piccadilly
44,2023-02-14,1363.04117961111,Manchester Piccadilly
45,2023-02-15,1358.9977062660832,Manchester Piccadilly
46,2023-02-16,1362.011179780974,Manchester Piccadilly
47,2023-02-17,1359.8500665351985,Manchester Piccadilly
48,2023-02-18,1353.9525746236084,Manchester Piccadilly
49,2023-02-19,1354.549586118112,Manchester Piccadilly
50,2023-02-20,1356.8099704673918,Manchester Piccadilly
51,2023-02-21,1360.0113400913178,Manchester Piccadilly
52,2023-02-22,1362.9249953820581,Manchester Piccadilly
53,2023-02-23,1358.4122458209931,Manchester Piccadilly
54,2023-02-24,1352.2985143270917,Manchester Piccadilly
55,2023-02-25,1355.2329673747518,Manchester Piccadilly
56,2023-02-26,1356.8975102867212,Manchester Piccadilly
57,2023-02-27,1358.1194126935288,Manchester Piccadilly
58,2023-02-28,1363.1877773287233,Manchester Piccadilly
59,2023-03-01,1366.8639320577633,Manchester Piccadilly
60,2023-03-02,1364.677028464338,Manchester Piccadilly
61,2023-03-03,1364.6417830338662,Manchester Piccadilly
62,2023-03-04,1358.2159444477904,Manchester Piccadilly
63,2023-03-05,1359.9508510752676,Manchester Piccadilly
64,2023-03-06,1358.036241146228,Manchester Piccadilly
65,2023-03-07,1362.0598867260908,Manchester Piccadilly
66,2023-03-08,1361.9936087172964,Manchester Piccadilly
67,2023-03-09,1362.538724813833,Manchester Piccadilly
68,2023-03-10,1365.1132970743713,Manchester Piccadilly
69,2023-03-11,1360.16499478854,Manchester Piccadilly
70,2023-03-12,1360.1821497425262,Manchester Piccadilly
71,2023-03-13,1362.9591125810118,Manchester Piccadilly
72,2023-03-14,1366.761280490996,Manchester Piccadilly
73,2023-03-15,1371.3512537273343,Manchester Piccadilly
74,2023-03-16,1371.23782344977,Manchester Piccadilly
75,2023-03-17,1371.5201410813547,Manchester Piccadilly
76,2023-03-18,1368.705664861263,Manchester Piccadilly
77,2023-03-19,1365.3204727241389,Manchester Piccadilly
78,2023-03-20,1366.7891093704936,Manchester Piccadilly
79,2023-03-21,1364.1271310877307,Manchester Piccadilly
80,2023-03-22,1373.4604958048867,Manchester Piccadilly
81,2023-03-23,1381.564569083461,Manchester Piccadilly
82,2023-03-24,1380.6809518847467,Manchester Piccadilly
83,2023-03-25,1378.6304990283213,Manchester Piccadilly
84,2023-03-26,1380.087440220315,Manchester Piccadilly
85,2023-03-27,1377.7057150156363,Manchester Piccadilly
86,2023-03-28,1379.469009011833,Manchester Piccadilly
87,2023-03-29,1383.0615991206241,Manchester Piccadilly
88,2023-03-30,1385.720055049327,Manchester Piccadilly
89,2023-03-31,1385.2145064804026,Manchester Piccadilly
90,2023-04-01,1381.255827133566,Manchester Piccadilly
91,2023-04-02,1387.3783589088987,Manchester Piccadilly
92,2023-04-03,1389.9074192952153,Manchester Piccadilly
93,2023-04-04,1392.0490789906053,Manchester Piccadilly
94,2023-04-05,1396.9946082104957,Manchester Piccadilly
95,2023-04-06,1397.683135838197,Manchester Piccadilly
96,2023-04-07,1397.1856068829452,Manchester Piccadilly
97,2023-04-08,1396.4812703901662,Manchester Piccadilly
98,2023-04-09,1395.3310487490705,Manchester Piccadilly
99,2023-04-10,1396.427035184271,Manchester Piccadilly
100,2023-04-11,1401.6843227619604,Manchester Piccadilly
101,2023-04-12,1401.3807754795305,Manchester Piccadilly
102,2023-04-13,1405.3009017719125,Manchester Piccadilly
103,2023-04-14,1399.869259061636,Manchester Piccadilly
104,2023-04-15,1391.679609287928,Manchester Piccadilly
105,2023-04-16,1393.2277761742932,Manchester Piccadilly
106,2023-04-17,1395.5272242365127,Manchester Piccadilly
107,2023-04-18,1402.4937742275406,Manchester Piccadilly
108,2023-04-19,1404.2197846842396,Manchester Piccadilly
109,2023-04-20,1402.6057617300994,Manchester Piccadilly
110,2023-04-21,1399.0786120101527,Manchester Piccadilly
111,2023-04-22,1390.2033824182133,Manchester Piccadilly
112,2023-04-23,1393.3602043511294,Manchester Piccadilly
113,2023-04-24,1391.5234914727907,Manchester Piccadilly
114,2023-04-25,1391.585525892296,Manchester Piccadilly
115,2023-04-26,1392.1876688089076,Manchester Piccadilly
116,2023-04-27,1389.384565914463,Manchester Piccadilly
117,2023-04-28,1387.3167048171872,Manchester Piccadilly
118,2023-04-29,1385.4568923159159,Manchester Piccadilly
119,2023-04-30,1384.3571860614697,Manchester Piccadilly
120,2023-05-01,1392.7531796762535,Manchester Piccadilly
121,2023-05-02,1391.8858858898218,Manchester Piccadilly
122,2023-05-03,1392.7141437092835,Manchester Piccadilly
123,2023-05-04,1400.7066410781242,Manchester Piccadilly
124,2023-05-05,1397.4352650686694,Manchester Piccadilly
125,2023-05-06,1395.9256278169375,Manchester Piccadilly
126,2023-05-07,1393.367066456275,Manchester Piccadilly
127,2023-05-08,1394.388934660879,Manchester Piccadilly
128,2023-05-09,1399.0366363318024,Manchester Piccadilly
129,2023-05-10,1393.7123467533231,Manchester Piccadilly
130,2023-05-11,1399.4885960123827,Manchester Piccadilly
131,2023-05-12,1395.310637478935,Manchester Piccadilly
132,2023-05-13,1391.8103370646986,Manchester Piccadilly
133,2023-05-14,1385.662109560657,Manchester Piccadilly
134,2023-05-15,1395.853529699123,Manchester Piccadilly
135,2023-05-16,1398.8173025921722,Manchester Piccadilly
136,2023-05-17,1407.03798551166,Manchester Piccadilly
137,2023-05-18,1406.9876655234007,Manchester Piccadilly
138,2023-05-19,1401.4018449304124,Manchester Piccadilly
139,2023-05-20,1394.4365133323734,Manchester Piccadilly
140,2023-05-21,1390.8315099132687,Manchester Piccadilly
141,2023-05-22,1392.4893563595622,Manchester Piccadilly
142,2023-05-23,1393.204728614521,Manchester Piccadilly
143,2023-05-24,1400.6276658585864,Manchester Piccadilly
144,2023-05-25,1398.5658665555356,Manchester Piccadilly
145,2023-05-26,1399.557188396287,Manchester Piccadilly
146,2023-05-27,1395.3577612731235,Manchester Piccadilly
147,2023-05-28,1397.424737129369,Manchester Piccadilly
148,2023-05-29,1397.2297289418211,Manchester Piccadilly
149,2023-05-30,1397.5579915962592,Manchester Piccadilly
150,2023-05-31,1400.9479784468228,Manchester Piccadilly
151,2023-06-01,1402.6552848488116,Manchester Piccadilly
152,2023-06-02,1400.4516771380804,Manchester Piccadilly
153,2023-06-03,1396.324294068499,Manchester Piccadilly
154,2023-06-04,1393.8536407369536,Manchester Piccadilly
155,2023-06-05,1390.0753854392594,Manchester Piccadilly
156,2023-06-06,1397.515815078788,Manchester Piccadilly
157,2023-06-07,1393.5897835973265,Manchester Piccadilly
158,2023-06-08,1394.8201869070754,Manchester Piccadilly
159,2023-06-09,1390.611050507205,Manchester Piccadilly
160,2023-06-10,1387.8739628166802,Manchester Piccadilly
161,2023-06-11,1389.0374094108859,Manchester Piccadilly
162,2023-06-12,1388.283704644558,Manchester Piccadilly
163,2023-06-13,1394.9503890577741,Manchester Piccadilly
164,2023-06-14,1398.0580850470956,Manchester Piccadilly
165,2023-06-15,1398.6563737785586,Manchester Piccadilly
166,2023-06-16,1400.8569356599478,Manchester Piccadilly
167,2023-06-17,1395.0647452775208,Manchester Piccadilly
168,2023-06-18,1392.2651370183726,Manchester Piccadilly
169,2023-06-19,1389.1072497308098,Manchester Piccadilly
170,2023-06-20,1390.7482672653075,Manchester Piccadilly
171,2023-06-21,1388.7755058897021,Manchester Piccadilly
172,2023-06-22,1390.929999975029,Manchester Piccadilly
173,2023-06-23,1385.793135105151,Manchester Piccadilly
174,2023-06-24,1382.4023487788747,Manchester Piccadilly
175,2023-06-25,1381.479788230981,Manchester Piccadilly
176,2023-06-26,1380.3191995426257,Manchester Piccadilly
177,2023-06-27,1384.9133890577536,Manchester Piccadilly
178,2023-06-28,1389.5976863464982,Manchester Piccadilly
179,2023-06-29,1392.942729880922,Manchester Piccadilly
180,2023-06-30,1385.5242535774244,Manchester Piccadilly
181,2023-07-01,1382.271659150397,Manchester Piccadilly
182,2023-07-02,1384.4976582122797,Manchester Piccadilly
183,2023-07-03,1383.5796777680512,Manchester Piccadilly
184,2023-07-04,1387.5381104968696,Manchester Piccadilly
185,2023-07-05,1391.801930599348,Manchester Piccadilly
186,2023-07-06,1387.7807044236552,Manchester Piccadilly
187,2023-07-07,1388.222443697666,Manchester Piccadilly
188,2023-07-08,1381.717211935663,Manchester Piccadilly
189,2023-07-09,1384.9767443771132,Manchester Piccadilly
190,2023-07-10,1384.1837322199879,Manchester Piccadilly
191,2023-07-11,1393.1495943768127,Manchester Piccadilly
192,2023-07-12,1387.7835366049392,Manchester Piccadilly
193,2023-07-13,1391.7560267520794,Manchester Piccadilly
194,2023-07-14,1387.5261045541029,Manchester Piccadilly
195,2023-07-15,1382.610287582163,Manchester Piccadilly
196,2023-07-16,1376.796831188546,Manchester Piccadilly
197,2023-07-17,1375.9300816081345,Manchester Piccadilly
198,2023-07-18,1382.3032896069342,Manchester Piccadilly
199,2023-07-19,1384.9839461660968,Manchester Piccadilly
200,2023-07-20,1387.9494144474897,Manchester Piccadilly
201,2023-07-21,1385.2656540237967,Manchester Piccadilly
202,2023-07-22,1382.0485145892092,Manchester Piccadilly
203,2023-07-23,1377.9665168399958,Manchester Piccadilly
204,2023-07-24,1377.0135222498634,Manchester Piccadilly
205,2023-07-25,1385.4931741024106,Manchester Piccadilly
206,2023-07-26,1386.345888894247,Manchester Piccadilly
207,2023-07-27,1388.7408278061157,Manchester Piccadilly
208,2023-07-28,1385.8105738944068,Manchester Piccadilly
209,2023-07-29,1385.9425120600713,Manchester Piccadilly
210,2023-07-30,1379.9089482392617,Manchester Piccadilly
211,2023-07-31,1383.8752811718427,Manchester Piccadilly
212,2023-08-01,1386.5030003236875,Manchester Piccadilly
213,2023-08-02,1389.030248887647,Manchester Piccadilly
214,2023-08-03,1390.1342876820956,Manchester Piccadilly
215,2023-08-04,1388.3049649830266,Manchester Piccadilly
216,2023-08-05,1380.9682485149103,Manchester Piccadilly
217,2023-08-06,1381.2669666375675,Manchester Piccadilly
218,2023-08-07,1388.1482782213163,Manchester Piccadilly
219,2023-08-08,1393.9520108830347,Manchester Piccadilly
220,2023-08-09,1398.7612218101012,Manchester Piccadilly
221,2023-08-10,1401.0933995615012,Manchester Piccadilly
222,2023-08-11,1398.5199892178794,Manchester Piccadilly
223,2023-08-12,1396.4781131605798,Manchester Piccadilly
224,2023-08-13,1389.4645575052434,Manchester Piccadilly
225,2023-08-14,1390.6021498954733,Manchester Piccadilly
226,2023-08-15,1391.0672396883365,Manchester Piccadilly
227,2023-08-16,1392.2222186912975,Manchester Piccadilly
228,2023-08-17,1389.5234412061518,Manchester Piccadilly
229,2023-08-18,1389.6939236751098,Manchester Piccadilly
230,2023-08-19,1384.0992057384549,Manchester Piccadilly
231,2023-08-20,1380.4778201016059,Manchester Piccadilly
232,2023-08-21,1378.5516096888352,Manchester Piccadilly
233,2023-08-22,1384.9098587175176,Manchester Piccadilly
234,2023-08-23,1387.0563562628101,Manchester Piccadilly
235,2023-08-24,1383.6120357843486,Manchester Piccadilly
236,2023-08-25,1385.2001507272132,Manchester Piccadilly
237,2023-08-26,1381.9322445325606,Manchester Piccadilly
238,2023-08-27,1384.1804406893984,Manchester Piccadilly
239,2023-08-28,1384.8133915889985,Manchester Piccadilly
240,2023-08-29,1387.2160454346508,Manchester Piccadilly
241,2023-08-30,1387.0520715086113,Manchester Piccadilly
242,2023-08-31,1391.3861292233746,Manchester Piccadilly
243,2023-09-01,1389.199128245191,Manchester Piccadilly
244,2023-09-02,1384.9055851673506,Manchester Piccadilly
245,2023-09-03,1387.8582709764553,Manchester Piccadilly
246,2023-09-04,1385.356084501968,Manchester Piccadilly
247,2023-09-05,1388.7343488334309,Manchester Piccadilly
248,2023-09-06,1391.7311447904026,Manchester Piccadilly
249,2023-09-07,1391.5005408083473,Manchester Piccadilly
250,2023-09-08,1392.5900292305669,Manchester Piccadilly
251,2023-09-09,1385.131642774271,Manchester Piccadilly
252,2023-09-10,1385.0681557066364,Manchester Piccadilly
253,2023-09-11,1386.2299687403115,Manchester Piccadilly
254,2023-09-12,1389.8985569714375,Manchester Piccadilly
255,2023-09-13,1388.430301004034,Manchester Piccadilly
256,2023-09-14,1383.1025533522688,Manchester Piccadilly
257,2023-09-15,1383.1255656847482,Manchester Piccadilly
258,2023-09-16,1378.0216555476838,Manchester Piccadilly
259,2023-09-17,1373.4919025903025,Manchester Piccadilly
260,2023-09-18,1379.8716505991315,Manchester Piccadilly
261,2023-09-19,1384.1918483313348,Manchester Piccadilly
262,2023-09-20,1386.602428374061,Manchester Piccadilly
263,2023-09-21,1383.4955844142528,Manchester Piccadilly
264,2023-09-22,1383.9882454667354,Manchester Piccadilly
265,2023-09-23,1381.1661591819732,Manchester Piccadilly
266,2023-09-24,1383.4880325984905,Manchester Piccadilly
267,2023-09-25,1388.888953902258,Manchester Piccadilly
268,2023-09-26,1390.3502750844477,Manchester Piccadilly
269,2023-09-27,1397.0791260189358,Manchester Piccadilly
270,2023-09-28,1397.7801014593076,Manchester Piccadilly
271,2023-09-29,1398.2616871642972,Manchester Piccadilly
272,2023-09-30,1395.4638722294646,Manchester Piccadilly
273,2023-10-01,1397.9338375864572,Manchester Piccadilly
274,2023-10-02,1396.2928438756367,Manchester Piccadilly
275,2023-10-03,1394.4644491226425,Manchester Piccadilly
276,2023-10-04,1392.9694997132974,Manchester Piccadilly
277,2023-10-05,1389.911588208462,Manchester Piccadilly
278,2023-10-06,1391.2816223706955,Manchester Piccadilly
279,2023-10-07,1386.7870730364593,Manchester Piccadilly
280,2023-10-08,1394.3039240478124,Manchester Piccadilly
281,2023-10-09,1389.2708858519015,Manchester Piccadilly
282,2023-10-10,1397.6418648358988,Manchester Piccadilly
283,2023-10-11,1400.9619347280234,Manchester Piccadilly
284,2023-10-12,1397.83490822111,Manchester Piccadilly
285,2023-10-13,1394.1990514442764,Manchester Piccadilly
286,2023-10-14,1389.053953280986,Manchester Piccadilly
287,2023-10-15,1388.0976935035678,Manchester Piccadilly
288,2023-10-16,1380.861047527541,Manchester Piccadilly
289,2023-10-17,1383.1233047011626,Manchester Piccadilly
290,2023-10-18,1392.4160222627784,Manchester Piccadilly
291,2023-10-19,1386.8532189080279,Manchester Piccadilly
292,2023-10-20,1388.418034962038,Manchester Piccadilly
293,2023-10-21,1384.2956082564267,Manchester Piccadilly
294,2023-10-22,1381.4742705547571,Manchester Piccadilly
295,2023-10-23,1380.6986982316378,Manchester Piccadilly
296,2023-10-24,1386.5459590885007,Manchester Piccadilly
297,2023-10-25,1385.4326429792707,Manchester Piccadilly
298,2023-10-26,1388.0302583296648,Manchester Piccadilly
299,2023-10-27,1386.8439418395153,Manchester Piccadilly
300,2023-10-28,1380.9819821051478,Manchester Piccadilly
301,2023-10-29,1378.4556800086998,Manchester Piccadilly
302,2023-10-30,1377.1097343723102,Manchester Piccadilly
303,2023-10-31,1383.1564574387012,Manchester Piccadilly
304,2023-11-01,1380.315272145578,Manchester Piccadilly
305,2023-11-02,1379.223262181289,Manchester Piccadilly
306,2023-11-03,1378.304271868623,Manchester Piccadilly
307,2023-11-04,1378.8066631737015,Manchester Piccadilly
308,2023-11-05,1378.3845818086363,Manchester Piccadilly
309,2023-11-06,1373.9413984557182,Manchester Piccadilly
310,2023-11-07,1376.0974716378275,Manchester Piccadilly
311,2023-11-08,1381.332460289273,Manchester Piccadilly
312,2023-11-09,1379.618277992606,Manchester Piccadilly
313,2023-11-10,1377.387345029735,Manchester Piccadilly
314,2023-11-11,1370.843500045636,Manchester Piccadilly
315,2023-11-12,1369.23212691987,Manchester Piccadilly
316,2023-11-13,1368.9339854305326,Manchester Piccadilly
317,2023-11-14,1374.0856953257446,Manchester Piccadilly
318,2023-11-15,1376.9285060704867,Manchester Piccadilly
319,2023-11-16,1378.0016164345534,Manchester Piccadilly
320,2023-11-17,1379.1539253244996,Manchester Piccadilly
321,2023-11-18,1373.5415868963544,Manchester Piccadilly
322,2023-11-19,1370.942617539031,Manchester Piccadilly
323,2023-11-20,1375.1311444279586,Manchester Piccadilly
324,2023-11-21,1376.885631107613,Manchester Piccadilly
325,2023-11-22,1380.3903179255822,Manchester Piccadilly
326,2023-11-23,1378.7544684530344,Manchester Piccadilly
327,2023-11-24,1373.7513504925034,Manchester Piccadilly
328,2023-11-25,1369.4720686514656,Manchester Piccadilly
329,2023-11-26,1374.9947108734095,Manchester Piccadilly
330,2023-11-27,1371.8401796963187,Manchester Piccadilly
331,2023-11-28,1380.9035704053244,Manchester Piccadilly
332,2023-11-29,1384.1506998823152,Manchester Piccadilly
333,2023-11-30,1384.821631923626,Manchester Piccadilly
334,2023-12-01,1380.4074143361627,Manchester Piccadilly
335,2023-12-02,1372.6835205379443,Manchester Piccadilly
336,2023-12-03,1375.7190402170604,Manchester Piccadilly
337,2023-12-04,1373.799086680304,Manchester Piccadilly
338,2023-12-05,1378.044862973784,Manchester Piccadilly
339,2023-12-06,1379.6413686506323,Manchester Piccadilly
340,2023-12-07,1377.4447901148767,Manchester Piccadilly
341,2023-12-08,1377.9838073881726,Manchester Piccadilly
342,2023-12-09,1375.3518668523711,Manchester Piccadilly
343,2023-12-10,1374.9658533766863,Manchester Piccadilly
344,2023-12-11,1377.80031486119,Manchester Piccadilly
345,2023-12-12,1379.1587321819406,Manchester Piccadilly
346,2023-12-13,1378.617845286409,Manchester Piccadilly
347,2023-12-14,1380.4541359221719,Manchester Piccadilly
348,2023-12-15,1374.180291419128,Manchester Piccadilly
349,2023-12-16,1369.7971939697927,Manchester Piccadilly
350,2023-12-17,1369.0234781176641,Manchester Piccadilly
351,2023-12-18,1362.8999819912165,Manchester Piccadilly
352,2023-12-19,1362.7685745355918,Manchester Piccadilly
353,2023-12-20,1368.614540192138,Manchester Piccadilly
354,2023-12-21,1370.4981197404038,Manchester Piccadilly
355,2023-12-22,1368.0790867285348,Manchester Piccadilly
356,2023-12-23,1362.9651643279087,Manchester Piccadilly
357,2023-12-24,1359.5855203469666,Manchester Piccadilly
358,2023-12-25,1361.705625228557,Manchester Piccadilly
359,2023-12-26,1367.1220366511204,Manchester Piccadilly
360,2023-12-27,1372.8877627878467,Manchester Piccadilly
361,2023-12-28,1377.9522372170393,Manchester Piccadilly
362,2023-12-29,1378.9436870399609,Manchester Piccadilly
363,2023-12-30,1373.507333478296,Manchester Piccadilly
364,2023-12-31,1370.9976817881548,Manchester Piccadilly
365,2024-01-01,1372.7687598596863,Manchester Piccadilly
366,2024-01-02,1374.4203842991565,Manchester Piccadilly
367,2024-01-03,1379.6426990060345,Manchester Piccadilly
368,2024-01-04,1383.2460321553122,Manchester Piccadilly
369,2024-01-05,1381.0251599792857,Manchester Piccadilly
370,2024-01-06,1380.3752744794353,Manchester Piccadilly
371,2024-01-07,1383.2680458919567,Manchester Piccadilly
372,2024-01-08,1382.0126813744248,Manchester Piccadilly
373,2024-01-09,1385.8479732127776,Manchester Piccadilly
374,2024-01-10,1389.6936697099832,Manchester Piccadilly
375,2024-01-11,1387.6539472977513,Manchester Piccadilly
376,2024-01-12,1387.8729481763073,Manchester Piccadilly
377,2024-01-13,1387.0820860555818,Manchester Piccadilly
378,2024-01-14,1384.713330851267,Manchester Piccadilly
379,2024-01-15,1389.7954895346747,Manchester Piccadilly
380,2024-01-16,1388.245462352366,Manchester Piccadilly
381,2024-01-17,1394.828305553825,Manchester Piccadilly
382,2024-01-18,1386.9201473307255,Manchester Piccadilly
383,2024-01-19,1383.6765914269108,Manchester Piccadilly
384,2024-01-20,1372.3026031723316,Manchester Piccadilly
385,2024-01-21,1376.0254805946133,Manchester Piccadilly
386,2024-01-22,1378.8146648566908,Manchester Piccadilly
387,2024-01-23,1381.0430304454528,Manchester Piccadilly
388,2024-01-24,1378.6012786321658,Manchester Piccadilly
389,2024-01-25,1372.7442396060517,Manchester Piccadilly
390,2024-01-26,1373.048506288744,Manchester Piccadilly
391,2024-01-27,1367.9678329108817,Manchester Piccadilly
392,2024-01-28,1368.9040421855595,Manchester Piccadilly
393,2024-01-29,1371.4267935677647,Manchester Piccadilly
394,2024-01-30,1374.5308038614855,Manchester Piccadilly
395,2024-01-31,1374.6430595387349,Manchester Piccadilly
396,2024-02-01,1374.9784169942693,Manchester Piccadilly
397,2024-02-02,1370.9427201533551,Manchester Piccadilly
398,2024-02-03,1365.3819378768098,Manchester Piccadilly
399,2024-02-04,1367.2750308389482,Manchester Piccadilly
400,2024-02-05,1371.3786539491634,Manchester Piccadilly
401,2024-02-06,1373.307955981407,Manchester Piccadilly
402,2024-02-07,1374.8973031341386,Manchester Piccadilly
403,2024-02-08,1377.7286335681615,Manchester Piccadilly
404,2024-02-09,1384.4778433073886,Manchester Piccadilly
405,2024-02-10,1378.21389348194,Manchester Piccadilly
406,2024-02-11,1374.180397522819,Manchester Piccadilly
407,2024-02-12,1375.5262276894816,Manchester Piccadilly
408,2024-02-13,1381.101189375595,Manchester Piccadilly
409,2024-02-14,1387.4100186011426,Manchester Piccadilly
410,2024-02-15,1387.8151735232223,Manchester Piccadilly
411,2024-02-16,1386.5257395065973,Manchester Piccadilly
412,2024-02-17,1382.5715447663974,Manchester Piccadilly
413,2024-02-18,1377.0723610194013,Manchester Piccadilly
414,2024-02-19,1381.4010020778062,Manchester Piccadilly
415,2024-02-20,1384.8274902328708,Manchester Piccadilly
416,2024-02-21,1383.9172229745789,Manchester Piccadilly
417,2024-02-22,1389.4758665841528,Manchester Piccadilly
418,2024-02-23,1388.3387219215194,Manchester Piccadilly
419,2024-02-24,1382.5352118655005,Manchester Piccadilly
420,2024-02-25,1385.1649337707122,Manchester Piccadilly
421,2024-02-26,1386.0855970371824,Manchester Piccadilly
422,2024-02-27,1392.9029787237623,Manchester Piccadilly
423,2024-02-28,1393.9576052471311,Manchester Piccadilly
424,2024-02-29,1394.0707545975347,Manchester Piccadilly
425,2024-03-01,1388.9075763787848,Manchester Piccadilly
426,2024-03-02,1386.653592171929,Manchester Piccadilly
427,2024-03-03,1391.0705664095979,Manchester Piccadilly
428,2024-03-04,1390.4698505152935,Manchester Piccadilly
429,2024-03-05,1397.435547723518,Manchester Piccadilly
430,2024-03-06,1402.8528478701187,Manchester Piccadilly
431,2024-03-07,1398.9250284325444,Manchester Piccadilly
432,2024-03-08,1397.389072360841,Manchester Piccadilly
433,2024-03-09,1396.0059424191534,Manchester Piccadilly
434,2024-03-10,1397.2961148060574,Manchester Piccadilly
435,2024-03-11,1392.868800681807,Manchester Piccadilly
436,2024-03-12,1403.5264386531271,Manchester Piccadilly
437,2024-03-13,1408.340047393745,Manchester Piccadilly
438,2024-03-14,1401.530167137414,Manchester Piccadilly
439,2024-03-15,1402.059202133826,Manchester Piccadilly
440,2024-03-16,1395.8712925654438,Manchester Piccadilly
441,2024-03-17,1395.4201826573583,Manchester Piccadilly
442,2024-03-18,1395.0241039004316,Manchester Piccadilly
443,2024-03-19,1399.3220850737334,Manchester Piccadilly
444,2024-03-20,1402.248351161144,Manchester Piccadilly
445,2024-03-21,1401.6979132459523,Manchester Piccadilly
446,2024-03-22,1403.0902218095075,Manchester Piccadilly
447,2024-03-23,1401.140101055938,Manchester Piccadilly
448,2024-03-24,1396.3004913551633,Manchester Piccadilly
449,2024-03-25,1396.3744751116576,Manchester Piccadilly
450,2024-03-26,1403.821286168502,Manchester Piccadilly
451,2024-03-27,1405.1267729221743,Manchester Piccadilly
452,2024-03-28,1409.902894997359,Manchester Piccadilly
453,2024-03-29,1412.3610415995654,Manchester Piccadilly
454,2024-03-30,1408.0422314807558,Manchester Piccadilly
455,2024-03-31,1409.9319240609464,Manchester Piccadilly
456,2024-04-01,1408.8451871806933,Manchester Piccadilly
457,2024-04-02,1411.1291212141266,Manchester Piccadilly
458,2024-04-03,1409.954404376168,Manchester Piccadilly
459,2024-04-04,1409.0945959407513,Manchester Piccadilly
460,2024-04-05,1416.7255521675322,Manchester Piccadilly
461,2024-04-06,1417.3368436424832,Manchester Piccadilly
462,2024-04-07,1416.5311679969238,Manchester Piccadilly
463,2024-04-08,1421.2699147586188,Manchester Piccadilly
464,2024-04-09,1423.9285138182724,Manchester Piccadilly
465,2024-04-10,1427.4420238939738,Manchester Piccadilly
466,2024-04-11,1422.8788140938066,Manchester Piccadilly
467,2024-04-12,1423.7490036171512,Manchester Piccadilly
468,2024-04-13,1422.0901603285529,Manchester Piccadilly
469,2024-04-14,1423.4804620181771,Manchester Piccadilly
470,2024-04-15,1423.6654907130812,Manchester Piccadilly
471,2024-04-16,1430.384992224629,Manchester Piccadilly
472,2024-04-17,1435.2877144402507,Manchester Piccadilly
473,2024-04-18,1441.5765923441902,Manchester Piccadilly
474,2024-04-19,1438.8546104252105,Manchester Piccadilly
475,2024-04-20,1434.2655871475633,Manchester Piccadilly
476,2024-04-21,1427.749493082462,Manchester Piccadilly
477,2024-04-22,1432.513033383707,Manchester Piccadilly
478,2024-04-23,1434.0577018716579,Manchester Piccadilly
479,2024-04-24,1440.7370018183847,Manchester Piccadilly
480,2024-04-25,1439.0972723901345,Manchester Piccadilly
481,2024-04-26,1440.2441330681186,Manchester Piccadilly
482,2024-04-27,1439.4109155593203,Manchester Piccadilly
483,2024-04-28,1439.4772707880181,Manchester Piccadilly
484,2024-04-29,1434.5374677727625,Manchester Piccadilly
